case_id,fecha_cierre,materia,tipo_proceso,cuantia_inicial_usd,rol_cliente,instancia_en_t0,jurisdiccion,tipo_contraparte,medida_cautelar_solicitada,prueba_pericial_prevista,resultado_favorable
SYN-0001,2020-01-15 00:00:00.000000000,Laboral,Despido intempestivo,91772.13,Demandado,Primera,Rumiñahui,Persona jurídica,1.0,0.0,1
SYN-0002,2020-01-21 13:38:16.378830083,Civil,Monitorio,6822.47,Demandado,Primera,Quito Sur,Persona natural,0.0,,0
SYN-0003,2020-01-28 03:16:32.757660167,Laboral,Haberes laborales,7408.86,Demandado,Primera,Quito Sur,Persona natural,0.0,,0
SYN-0004,2020-02-03 16:54:49.136490251,Laboral,Despido intempestivo,68453.6,Demandado,Primera,Mejía,Persona jurídica,0.0,1.0,1
SYN-0005,2020-02-10 06:33:05.515320334,Civil,Monitorio,14865.27,Demandado,Primera,Quito Sur,Persona jurídica,1.0,0.0,0
SYN-0006,2020-02-16 20:11:21.894150418,Laboral,Despido intempestivo,,Actor,Primera,Quito Sur,Persona natural,0.0,0.0,1
SYN-0007,2020-02-23 09:49:38.272980502,Laboral,Haberes laborales,11563.3,Actor,Primera,Mejía,Persona natural,0.0,1.0,0
SYN-0008,2020-02-29 23:27:54.651810585,Laboral,Despido intempestivo,,Actor,Primera,Quito Norte,Persona jurídica,1.0,0.0,1
SYN-0009,2020-03-07 13:06:11.030640669,Civil,Ejecutivo,20529.39,Actor,Primera,Rumiñahui,Persona jurídica,0.0,0.0,0
SYN-0010,2020-03-14 02:44:27.409470753,Civil,Sumario,23303.43,Actor,Primera,Rumiñahui,Persona jurídica,1.0,0.0,1
SYN-0011,2020-03-20 16:22:43.788300836,Civil,Sumario,86063.88,Demandado,Primera,,Persona natural,0.0,1.0,1
SYN-0012,2020-03-27 06:01:00.167130920,Laboral,Visto bueno,12535.96,Actor,Primera,Quito Sur,Entidad pública,0.0,0.0,0
SYN-0013,2020-04-02 19:39:16.545961004,Laboral,Haberes laborales,7023.42,Actor,Primera,Quito Norte,Persona jurídica,1.0,0.0,1
SYN-0014,2020-04-09 09:17:32.924791087,Laboral,Haberes laborales,11493.8,Actor,Segunda,Quito Norte,,0.0,0.0,1
SYN-0015,2020-04-15 22:55:49.303621171,Civil,Ordinario,28295.58,Actor,Segunda,Quito Sur,Persona jurídica,0.0,1.0,1
SYN-0016,2020-04-22 12:34:05.682451254,Civil,Sumario,3760.73,Actor,Primera,Quito Norte,,0.0,1.0,1
SYN-0017,2020-04-29 02:12:22.061281338,Civil,Sumario,34050.43,Demandado,Primera,Rumiñahui,Persona natural,0.0,0.0,1
SYN-0018,2020-05-05 15:50:38.440111422,Civil,Ejecutivo,,Actor,Primera,Mejía,Persona natural,0.0,0.0,1
SYN-0019,2020-05-12 05:28:54.818941506,Laboral,Haberes laborales,56723.26,Demandado,Primera,Rumiñahui,Persona jurídica,0.0,1.0,0
SYN-0020,2020-05-18 19:07:11.197771588,Laboral,Haberes laborales,1642.32,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,1
SYN-0021,2020-05-25 08:45:27.576601672,Laboral,Haberes laborales,8197.31,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,1
SYN-0022,2020-05-31 22:23:43.955431756,Civil,Monitorio,3333.1,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,1
SYN-0023,2020-06-07 12:02:00.334261840,Laboral,Visto bueno,7878.54,Demandado,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0024,2020-06-14 01:40:16.713091924,Laboral,Despido intempestivo,23058.57,Demandado,Primera,Mejía,Persona natural,0.0,0.0,1
SYN-0025,2020-06-20 15:18:33.091922008,Laboral,Haberes laborales,15046.5,Actor,Primera,Quito Sur,Persona jurídica,0.0,0.0,1
SYN-0026,2020-06-27 04:56:49.470752090,Civil,Ejecutivo,13971.15,Demandado,Primera,Quito Norte,,1.0,0.0,0
SYN-0027,2020-07-03 18:35:05.849582174,Civil,Sumario,,Actor,Primera,Rumiñahui,Persona natural,0.0,0.0,0
SYN-0028,2020-07-10 08:13:22.228412258,Civil,Ejecutivo,22059.87,Demandado,Primera,Quito Sur,Persona jurídica,0.0,1.0,1
SYN-0029,2020-07-16 21:51:38.607242342,Civil,Ejecutivo,6565.55,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0030,2020-07-23 11:29:54.986072426,Laboral,Despido intempestivo,36496.68,Actor,Primera,Quito Norte,Persona jurídica,1.0,0.0,1
SYN-0031,2020-07-30 01:08:11.364902508,Laboral,Haberes laborales,34919.23,Demandado,Primera,Quito Sur,Persona natural,0.0,1.0,1
SYN-0032,2020-08-05 14:46:27.743732592,Laboral,Despido intempestivo,26454.06,Actor,Primera,Rumiñahui,Persona natural,0.0,0.0,0
SYN-0033,2020-08-12 04:24:44.122562676,Civil,Ordinario,31403.06,Actor,Primera,Quito Norte,Persona natural,0.0,1.0,1
SYN-0034,2020-08-18 18:03:00.501392760,Civil,Monitorio,24210.58,Actor,Primera,Mejía,Persona natural,0.0,0.0,1
SYN-0035,2020-08-25 07:41:16.880222844,Civil,Sumario,137750.64,Actor,Segunda,Rumiñahui,Persona natural,1.0,1.0,1
SYN-0036,2020-08-31 21:19:33.259052928,Civil,Ejecutivo,16498.63,Demandado,Primera,Rumiñahui,Persona jurídica,1.0,0.0,0
SYN-0037,2020-09-07 10:57:49.637883012,Civil,Sumario,13240.61,Demandado,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0038,2020-09-14 00:36:06.016713096,Civil,Ejecutivo,8472.66,Demandado,Primera,Quito Norte,Persona jurídica,1.0,0.0,0
SYN-0039,2020-09-20 14:14:22.395543176,Civil,Ordinario,6411.6,Actor,Segunda,Rumiñahui,Persona jurídica,0.0,0.0,1
SYN-0040,2020-09-27 03:52:38.774373260,Laboral,Haberes laborales,5185.67,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0041,2020-10-03 17:30:55.153203344,Civil,Ordinario,7400.7,Actor,Segunda,Quito Sur,Persona jurídica,1.0,1.0,0
SYN-0042,2020-10-10 07:09:11.532033428,Laboral,Visto bueno,16771.67,Actor,Primera,Rumiñahui,Persona natural,0.0,1.0,1
SYN-0043,2020-10-16 20:47:27.910863512,Laboral,Haberes laborales,25145.2,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,1
SYN-0044,2020-10-23 10:25:44.289693596,Civil,Monitorio,18944.5,Demandado,Primera,Rumiñahui,Persona natural,0.0,1.0,0
SYN-0045,2020-10-30 00:04:00.668523680,Laboral,Visto bueno,,Demandado,Primera,Mejía,Persona jurídica,1.0,1.0,0
