case_id,fecha_cierre,materia,tipo_proceso,rol_cliente,jurisdiccion,resultado_favorable,probabilidad_favorable,prediccion,tipo_error,confianza_error
SYN-0342,2026-03-03 18:31:05.181058528,Laboral,Haberes laborales,Actor,Rumiñahui,0,0.873093181028702,1,Falso positivo,0.873093181028702
SYN-0289,2025-03-20 15:42:37.103064096,Civil,Sumario,Demandado,Mejía,1,0.1317323594689147,0,Falso negativo,0.8682676405310853
SYN-0323,2025-10-29 23:23:53.983286912,Civil,Ejecutivo,Demandado,Mejía,1,0.1605704893531925,0,Falso negativo,0.8394295106468075
SYN-0333,2026-01-03 15:46:37.771587776,Laboral,Visto bueno,Actor,Quito Norte,0,0.816302090221109,1,Falso positivo,0.816302090221109
SYN-0348,2026-04-12 04:20:43.454039008,Civil,Sumario,Actor,Rumiñahui,1,0.21048391105469755,0,Falso negativo,0.7895160889453025
SYN-0345,2026-03-23 11:25:54.317548768,Laboral,Haberes laborales,Demandado,Quito Norte,1,0.2144370483468577,0,Falso negativo,0.7855629516531423
SYN-0356,2026-06-03 17:26:54.484679680,Civil,Ordinario,Actor,Quito Norte,0,0.7726267994073419,1,Falso positivo,0.7726267994073419
SYN-0341,2026-02-25 04:52:48.802228448,Civil,Monitorio,Actor,Mejía,0,0.7611324243251774,1,Falso positivo,0.7611324243251774
SYN-0344,2026-03-16 21:47:37.938718688,Civil,Sumario,Actor,Quito Norte,0,0.748157836531334,1,Falso positivo,0.748157836531334
SYN-0316,2025-09-13 23:55:59.331476352,Civil,Sumario,Actor,Quito Norte,0,0.7106376293136606,1,Falso positivo,0.7106376293136606
SYN-0353,2026-05-15 00:32:05.348189440,Civil,Monitorio,Demandado,Quito Norte,0,0.7019264407300673,1,Falso positivo,0.7019264407300673
SYN-0298,2025-05-18 18:27:04.512534848,Laboral,Visto bueno,Actor,Quito Norte,0,0.6950454703044658,1,Falso positivo,0.6950454703044658
SYN-0349,2026-04-18 17:58:59.832869088,Civil,Ejecutivo,Demandado,Quito Norte,1,0.36332862112351977,0,Falso negativo,0.6366713788764802
SYN-0352,2026-05-08 10:53:48.969359360,Civil,Ordinario,Actor,Rumiñahui,0,0.6311494135883664,1,Falso positivo,0.6311494135883664
SYN-0293,2025-04-15 22:15:42.618384416,Laboral,Despido intempestivo,Demandado,Quito Norte,0,0.6200612906506656,1,Falso positivo,0.6200612906506656
SYN-0354,2026-05-21 14:10:21.727019520,Civil,Sumario,Actor,Quito Sur,1,0.4052270997159655,0,Falso negativo,0.5947729002840345
SYN-0346,2026-03-30 01:04:10.696378848,Laboral,Visto bueno,Demandado,Quito Sur,0,0.5779314991412606,1,Falso positivo,0.5779314991412606
SYN-0311,2025-08-12 03:44:37.437325920,Civil,Ejecutivo,Actor,Quito Sur,0,0.5774577310806024,1,Falso positivo,0.5774577310806024
SYN-0321,2025-10-16 20:07:21.225626752,Laboral,Haberes laborales,Actor,Quito Norte,0,0.5763425026016289,1,Falso positivo,0.5763425026016289
SYN-0359,2026-06-23 10:21:43.621169952,Civil,Ejecutivo,Actor,Quito Norte,1,0.42487946802489845,0,Falso negativo,0.5751205319751016
SYN-0310,2025-08-05 14:06:21.058495840,Civil,Ejecutivo,Actor,Quito Norte,1,0.4473505966907688,0,Falso negativo,0.5526494033092312
SYN-0337,2026-01-29 22:19:43.286908096,Civil,Ejecutivo,Actor,Rumiñahui,0,0.5432203091433658,1,Falso positivo,0.5432203091433658
SYN-0360,2026-06-30 00:00:00.000000000,Civil,Monitorio,Demandado,Quito Norte,1,0.4652072003129434,0,Falso negativo,0.5347927996870566
SYN-0329,2025-12-08 09:13:32.256267424,Laboral,Haberes laborales,Actor,Quito Sur,1,0.4704123625722156,0,Falso negativo,0.5295876374277844
SYN-0301,2025-06-07 11:21:53.649025088,Laboral,Despido intempestivo,Demandado,Quito Sur,0,0.5273025118294595,1,Falso positivo,0.5273025118294595
SYN-0314,2025-08-31 20:39:26.573816160,Civil,Ejecutivo,Actor,Rumiñahui,0,0.5093511639909757,1,Falso positivo,0.5093511639909757
