iteration,roc_auc,pr_auc,f1_macro,balanced_accuracy,brier,log_loss
0,0.71875,0.8012742603361546,0.6322778345250255,0.634375,0.21097013095907943,0.6009695899716418
1,0.74765625,0.8296340377391617,0.6985044865403789,0.696875,0.20156628834114126,0.586771400194404
2,0.7921875,0.8592184608208719,0.7356521739130435,0.740625,0.18792338154441238,0.5585786820098546
3,0.7734375,0.8603904418655375,0.7055501460564753,0.70625,0.19371279027494617,0.5664358641553834
4,0.80078125,0.8688759340900045,0.6950998185117967,0.69375,0.1855363513945888,0.5432962157166104
5,0.7453125,0.8337462971232513,0.6148148148148148,0.61875,0.20763824234122133,0.5936080469178201
6,0.728125,0.8179686041542263,0.6494644595910419,0.65,0.2046921687591145,0.5889981860214465
7,0.5750000000000001,0.7140110966636756,0.5307130159984199,0.53125,0.25897450461575466,0.7115042546339774
8,0.71953125,0.8100616845836419,0.6643356643356644,0.665625,0.21736245200232118,0.6180871505386548
9,0.79609375,0.8559015558409566,0.7298044637566661,0.728125,0.18386119546420873,0.5400067569159217
10,0.78359375,0.8555312981778228,0.6566452415509019,0.659375,0.20859962392811865,0.6018225353427928
11,0.78046875,0.8453414683547368,0.6729211929685956,0.671875,0.18865552463761612,0.550417593601415
12,0.77734375,0.8357842643115675,0.7272183449651046,0.725,0.19317236421799727,0.5630990900549298
13,0.83828125,0.8940731340114705,0.7272183449651046,0.725,0.16689814987689167,0.4979172135350081
14,0.80078125,0.8607342452014018,0.7450826121164438,0.74375,0.18293694257163584,0.545164467302997
15,0.8140624999999999,0.8769828329254423,0.7142857142857142,0.7125,0.1788394097855543,0.5293477842779767
16,0.8218749999999999,0.8722868521039914,0.7492260061919505,0.753125,0.17362488815305419,0.5163435646801561
17,0.803125,0.8513523599525445,0.7450826121164438,0.74375,0.1850498762853203,0.5511902801333896
18,0.7601562500000001,0.8181974043171412,0.7428571428571429,0.740625,0.19589067835501953,0.577244842217852
19,0.75078125,0.8251835391120274,0.6857142857142857,0.684375,0.20005776292553062,0.5777687530570919
20,0.8234375,0.8794336787670594,0.775,0.775,0.17532165791114007,0.5191217653346816
21,0.7734375,0.8570743431181014,0.690625,0.690625,0.1878479442907276,0.5471269672805416
22,0.7359375,0.8393701079958166,0.6510951734832332,0.653125,0.21133265296723516,0.6088451805831561
23,0.7671875,0.8319942952427379,0.6629787234042553,0.66875,0.19544431102363824,0.5688497654697743
24,0.81875,0.8609534404946252,0.7582460991507012,0.75625,0.178334721612011,0.529194852326294
25,0.72734375,0.8053414774438518,0.6950998185117967,0.69375,0.2139791597569949,0.6095792999652461
26,0.825,0.8778972619380964,0.7205311542390194,0.71875,0.17711615552604348,0.5294925432184646
27,0.83671875,0.8925607804566877,0.7762237762237763,0.778125,0.16646530206411353,0.49838085744630134
28,0.86875,0.909032496726869,0.7846460618145563,0.78125,0.15515388563028648,0.47344886540763675
29,0.8578125,0.9110816098710444,0.7582460991507012,0.75625,0.16220061109001424,0.4893016321652996
30,0.8203125,0.8704161498478171,0.803125,0.803125,0.18029990284222536,0.5377224642605497
31,0.7984374999999999,0.8597939282019551,0.7319223985890653,0.73125,0.18861507575640685,0.553550103470516
32,0.78671875,0.8528325176811433,0.7319223985890653,0.73125,0.19094099088229122,0.5534053642991902
33,0.7867187499999999,0.8560135943803289,0.7113071371291099,0.709375,0.19345921499080934,0.5631335226429852
34,0.7617187500000001,0.8307823715258095,0.669790628115653,0.66875,0.18821165677008841,0.5490691398270143
35,0.82734375,0.8793093817510468,0.737012987012987,0.734375,0.1772542679586442,0.5268540446606984
36,0.84140625,0.8817058294416361,0.7734067663257278,0.771875,0.17026671186704812,0.5130460631436373
37,0.8789062500000001,0.92288550386476,0.7866877345447363,0.784375,0.14543071176826278,0.45049898218028883
38,0.8726562500000001,0.9187499478487632,0.7906571040899399,0.79375,0.15724526937242012,0.48294410800755205
39,0.8757812500000001,0.9175543466117574,0.7979149959903769,0.79375,0.1623078187496939,0.49455087706970935
40,0.8124999999999999,0.8945243981215926,0.7482517482517483,0.75,0.17742316770710798,0.5316797524696438
41,0.7140624999999999,0.8155614745252708,0.6214216163583253,0.621875,0.21073725418350692,0.6032921849298974
42,0.7515624999999999,0.8245596535012352,0.6923076923076923,0.69375,0.20447944456525366,0.590552696068806
43,0.78671875,0.8548407901927066,0.7498069498069498,0.75625,0.1927574208756162,0.565081153915165
44,0.8843749999999999,0.9152561404108752,0.8185694902112812,0.821875,0.15067563099782003,0.4682415182224595
45,0.6953125,0.8084977176003335,0.634375,0.634375,0.22409257112139944,0.6371906040382235
46,0.8968750000000001,0.9249565171662342,0.859375,0.859375,0.15184314879225339,0.4706285159197772
47,0.82265625,0.8866361000208217,0.7582460991507012,0.75625,0.17917168028028738,0.5328105331625017
48,0.7515624999999999,0.8490890885636709,0.7037037037037037,0.703125,0.20490726798934158,0.594049286934512
49,0.82890625,0.8911410946478939,0.7428571428571429,0.740625,0.17692455138016794,0.5234838726317065
50,0.721875,0.8335027068742882,0.7078260869565217,0.7125,0.21683359041471234,0.6211773989494793
51,0.740625,0.836720312528546,0.6246992782678429,0.625,0.2183579829092126,0.6219358165780161
52,0.7882812499999999,0.8625284116721618,0.7492260061919505,0.753125,0.18581655337079528,0.5510483838203185
53,0.7335937499999999,0.7958588633985517,0.6775073028237586,0.678125,0.20911042248752126,0.6008961283649974
54,0.79609375,0.8596741816162399,0.7319223985890653,0.73125,0.18350467404207488,0.5368005141215867
55,0.8132812500000001,0.8716259881746969,0.7582460991507012,0.75625,0.1796853544990214,0.5322100249027084
56,0.7523437500000001,0.8416424251334925,0.7213622291021672,0.725,0.20270263752290502,0.5902646096199633
57,0.81328125,0.8652804694950673,0.7113071371291099,0.709375,0.17867765262466515,0.5280695517468644
58,0.85234375,0.9053940895219015,0.7762237762237763,0.778125,0.15403746913618108,0.4713033145435453
59,0.765625,0.8341707577780694,0.7078260869565217,0.7125,0.1976257100872874,0.5764969411481757
60,0.7921874999999999,0.8765352415309269,0.6535685645549318,0.653125,0.1997725264966793,0.5840161015743652
61,0.834375,0.8828324228060203,0.7428571428571429,0.740625,0.16714932356297738,0.5005813555032596
62,0.64921875,0.7479266442138801,0.6285714285714286,0.628125,0.23890084988534951,0.6711488797924391
63,0.76171875,0.8564447002057083,0.6942084942084943,0.7,0.19788855754558515,0.580747763456428
64,0.734375,0.8248356494715373,0.6884343036978757,0.6875,0.2081229624600955,0.5985595183966965
65,0.8148437500000001,0.857893988578162,0.7213622291021672,0.725,0.1790896722998787,0.5277005869322161
66,0.7640625000000001,0.8447752520081017,0.6754850088183422,0.675,0.19048331427600462,0.5490734954140098
67,0.8421875000000001,0.8933886260344898,0.7428571428571429,0.740625,0.16602576813879186,0.495483624209032
68,0.77109375,0.8474392065242552,0.6601101494885917,0.659375,0.18890735166202643,0.552788035002361
69,0.8062499999999999,0.8682563991420844,0.7167584579071598,0.715625,0.17961765613512956,0.5287297705530671
70,0.671875,0.7925953646736601,0.5933787731256086,0.59375,0.2305669856096867,0.6473036945917232
71,0.8023437499999999,0.8589524197319786,0.7069199457259159,0.709375,0.18017446529055128,0.5319397891176819
72,0.86015625,0.8993622963611524,0.8017309205350118,0.8,0.15725169578379725,0.47819023372243613
