replication,direction,b1_balanced_accuracy,b2_balanced_accuracy,difference
1,1,0.6555944055944056,0.6666666666666666,0.011072261072261003
1,2,0.6456876456876457,0.6532634032634033,0.007575757575757569
2,1,0.6946386946386947,0.6800699300699301,-0.014568764568764547
2,2,0.6538461538461539,0.6305361305361306,-0.023310023310023298
3,1,0.6888111888111887,0.6538461538461539,-0.03496503496503489
3,2,0.6678321678321678,0.6742424242424242,0.0064102564102563875
4,1,0.666083916083916,0.671911421911422,0.005827505827505908
4,2,0.6416083916083917,0.5926573426573427,-0.04895104895104896
5,1,0.6398601398601398,0.6486013986013985,0.00874125874125875
5,2,0.7156177156177156,0.6771561771561772,-0.038461538461538436
