feature,local_weight,abs_weight
numeric__is_actor,0.07637882610156324,0.07637882610156324
numeric__medida_cautelar_solicitada,0.048097580845562204,0.048097580845562204
numeric__log_cuantia,0.043401953353158974,0.043401953353158974
numeric__prueba_pericial_prevista,0.040188954317206434,0.040188954317206434
numeric__is_segunda,-0.038649669071749326,0.038649669071749326
numeric__is_laboral,0.03215283480981147,0.03215283480981147
numeric__is_ruminahui,0.012597350846986597,0.012597350846986597
numeric__actor_medida,0.009228103106242114,0.009228103106242114
numeric__is_publica,-0.00909509296723311,0.00909509296723311
numeric__cuantia_missing,0.007690225900020873,0.007690225900020873
categorical__instancia_en_t0_Segunda,-0.0032283792542356195,0.0032283792542356195
numeric__missingindicator_medida_cautelar_solicitada,-0.0030102105733479387,0.0030102105733479387
categorical__tipo_proceso_Despido intempestivo,0.002580344003960454,0.002580344003960454
categorical__materia_Civil,0.0025123248163824987,0.0025123248163824987
categorical__tipo_proceso_Sumario,-0.0024879501299339573,0.0024879501299339573
