feature,local_weight,abs_weight
numeric__is_actor,0.09567499377030134,0.09567499377030134
numeric__medida_cautelar_solicitada,0.05908126350570717,0.05908126350570717
numeric__log_cuantia,0.05282954098858102,0.05282954098858102
numeric__prueba_pericial_prevista,0.05028201792090718,0.05028201792090718
numeric__is_segunda,-0.04777248939457252,0.04777248939457252
numeric__is_laboral,0.03901047125597655,0.03901047125597655
numeric__is_ruminahui,0.016002049747315023,0.016002049747315023
numeric__actor_medida,0.011184962727388862,0.011184962727388862
numeric__is_publica,-0.010562175921442625,0.010562175921442625
numeric__cuantia_missing,0.009218190115239163,0.009218190115239163
numeric__missingindicator_medida_cautelar_solicitada,-0.003201366038154747,0.003201366038154747
categorical__instancia_en_t0_Segunda,-0.0026046161876485266,0.0026046161876485266
categorical__jurisdiccion_Rumiñahui,-0.0023966970579083037,0.0023966970579083037
categorical__tipo_contraparte_Entidad pública,-0.0016648294228544394,0.0016648294228544394
categorical__tipo_proceso_Ordinario,-0.0015542050724188653,0.0015542050724188653
