feature,local_weight,abs_weight
numeric__is_actor,0.052198722814826674,0.052198722814826674
numeric__medida_cautelar_solicitada,0.03222799385346448,0.03222799385346448
numeric__log_cuantia,0.02876233178350902,0.02876233178350902
numeric__prueba_pericial_prevista,0.02714301562038711,0.02714301562038711
numeric__is_segunda,-0.025807122698408704,0.025807122698408704
numeric__is_laboral,0.02109852643605641,0.02109852643605641
numeric__is_ruminahui,0.008605997822549434,0.008605997822549434
numeric__actor_medida,0.006288024196416481,0.006288024196416481
numeric__is_publica,-0.005470826959017973,0.005470826959017973
numeric__cuantia_missing,0.005246697811487479,0.005246697811487479
categorical__tipo_proceso_Despido intempestivo,0.0030726283027200686,0.0030726283027200686
categorical__instancia_en_t0_Primera,-0.0020265270253531234,0.0020265270253531234
numeric__missingindicator_medida_cautelar_solicitada,-0.0015551478306130475,0.0015551478306130475
categorical__jurisdiccion_Quito Sur,-0.001105631375350008,0.001105631375350008
numeric__missingindicator_log_cuantia,0.001039796816631056,0.001039796816631056
